rounds,accuracy,kappa,f1_score,roc_auc,Scenario
49,0.609,0.5654774795133699,0.6072222711288745,0.8986652035187964,One_Attacker_IID
50,0.6204,0.578177153102651,0.6182044020889015,0.8987974011487473,One_Attacker_IID
1,0.2892,0.2095951756571873,0.2587729632899743,0.7596119203341042,Two_Attackers_IID
2,0.364,0.2942293449292959,0.349338897571759,0.7905095342322035,Two_Attackers_IID
3,0.3824,0.3140731255631326,0.3643254017178814,0.8137666511562174,Two_Attackers_IID
4,0.412,0.3470176075209535,0.4010565977667947,0.8253347513063031,Two_Attackers_IID
5,0.4368,0.3739067592875896,0.4279350850347113,0.8310289750763759,Two_Attackers_IID
6,0.4506,0.3890747157946236,0.4402152025170197,0.8396444339232365,Two_Attackers_IID
7,0.4608,0.4008894941574843,0.4510803505486725,0.8429313350321852,Two_Attackers_IID
8,0.467,0.4079212771766941,0.4565541282763732,0.8425155932019367,Two_Attackers_IID
9,0.494,0.4377557638571476,0.4911287871805689,0.8449335456671823,Two_Attackers_IID
10,0.4834,0.4261725428094362,0.4788475302011109,0.8513904936786112,Two_Attackers_IID
11,0.5042,0.4489728365493203,0.4922333925394645,0.8550500976666917,Two_Attackers_IID
12,0.5106,0.4560956243399365,0.5029334844610497,0.860767430792308,Two_Attackers_IID
13,0.51,0.4556776407329884,0.5069386620705658,0.8578835551369888,Two_Attackers_IID
14,0.5232,0.4701414621835841,0.5179695323867118,0.8630736572669181,Two_Attackers_IID
15,0.5186,0.4653419230264132,0.5122753260897299,0.8627794005197625,Two_Attackers_IID
16,0.5232,0.4705583904210884,0.5171342746237073,0.8603138868344651,Two_Attackers_IID
17,0.5352,0.483132568727237,0.5272660475161217,0.8668529533853955,Two_Attackers_IID
18,0.5314,0.4795367948260726,0.5263355783511077,0.8680365326011322,Two_Attackers_IID
19,0.533,0.4810860610509751,0.5339175668252272,0.8702638221935615,Two_Attackers_IID
20,0.5262,0.4738001268274515,0.5218679517146751,0.8682385495717144,Two_Attackers_IID
21,0.5474,0.4970798627331761,0.542460959713355,0.870012246718953,Two_Attackers_IID
22,0.5602,0.5112939838327957,0.5565612561532571,0.8728479822570735,Two_Attackers_IID
23,0.5586,0.5098708403342672,0.5617310720427229,0.8702155079079441,Two_Attackers_IID
24,0.561,0.5123817635161414,0.563323853748452,0.8768502101035508,Two_Attackers_IID
25,0.5662,0.5181015720100636,0.5654254692171985,0.8763560657396346,Two_Attackers_IID
26,0.5534,0.5039230923171458,0.5577352112948192,0.8759277165396485,Two_Attackers_IID
27,0.559,0.5098785485474195,0.5653960980199894,0.8789618142427631,Two_Attackers_IID
28,0.5674,0.5192853863335677,0.570063928562311,0.8769979092490452,Two_Attackers_IID
29,0.558,0.5090828296756399,0.5606482362656035,0.8746507821225267,Two_Attackers_IID
30,0.5386,0.4875560585766759,0.5403836270041438,0.8792622010082114,Two_Attackers_IID
31,0.5772,0.5301314151533537,0.5781429395278762,0.8842869556693491,Two_Attackers_IID
32,0.5826,0.5359011818497864,0.5786777024787731,0.8832278210829734,Two_Attackers_IID
33,0.5732,0.5257058136749599,0.5727295257956675,0.880079338268055,Two_Attackers_IID
34,0.586,0.539810472400301,0.5822439099365799,0.8844076964844051,Two_Attackers_IID
35,0.5822,0.5356152467217703,0.5772939253096261,0.8803058165921628,Two_Attackers_IID
36,0.573,0.5259603933635885,0.5695714962644269,0.8836044004327185,Two_Attackers_IID
37,0.5824,0.5359164559901609,0.5736009626150975,0.881128607031356,Two_Attackers_IID
38,0.5816,0.5349554620691856,0.5781584739088281,0.8813863400873546,Two_Attackers_IID
39,0.57,0.5224809691227943,0.5647320403735011,0.8851038739163487,Two_Attackers_IID
40,0.566,0.5182099987350193,0.5623954528952897,0.885128321170857,Two_Attackers_IID
41,0.5818,0.5353150871435474,0.5820345063448622,0.8885538156688919,Two_Attackers_IID
42,0.583,0.5367783193086967,0.5832370280658987,0.8855553124260894,Two_Attackers_IID
43,0.5794,0.5328526648236226,0.5700308361480324,0.8891920602020018,Two_Attackers_IID
44,0.5874,0.5415610821783848,0.5815407029718984,0.8900488027826626,Two_Attackers_IID
45,0.5786,0.5316701772739357,0.5773158507489715,0.8879682101334582,Two_Attackers_IID
46,0.5936,0.5484580632124441,0.5931770038603915,0.8917242069935608,Two_Attackers_IID
47,0.5816,0.535180259306657,0.5744787114778216,0.890083097590713,Two_Attackers_IID
48,0.5964,0.5515162271872137,0.5944430328440132,0.8919197113145981,Two_Attackers_IID
49,0.5932,0.5480237987845794,0.5911031677682728,0.8926821346206867,Two_Attackers_IID
50,0.5916,0.5460830460893105,0.5880711263440317,0.8914382401053784,Two_Attackers_IID
1,0.1649010593643813,0.0766683314774606,0.0603206431019539,0.7468794171750873,Baseline_NonIID
2,0.3547871277233659,0.2749084112048597,0.2991960428547078,0.7965886766683284,Baseline_NonIID
3,0.4001599040575654,0.3244191416601235,0.3382106564887619,0.820620723877512,Baseline_NonIID
4,0.4311413152108734,0.3587806096302709,0.3729443052119647,0.830304974420873,Baseline_NonIID
5,0.4563262042774335,0.3852703297141614,0.3999947409240744,0.8387536223752454,Baseline_NonIID
6,0.4629222466520088,0.3940116977862498,0.4131073276620736,0.8454977954040312,Baseline_NonIID
7,0.4771137317609434,0.4090217663291777,0.4227844247417505,0.8494834739782302,Baseline_NonIID
8,0.4935038976614032,0.4261722968666653,0.4360997915200401,0.8554087713337604,Baseline_NonIID
9,0.5048970617629422,0.4386065758694185,0.4436225504862705,0.8556636556260727,Baseline_NonIID
10,0.5030981411153308,0.4372890161071163,0.449664603523271,0.8600218817184759,Baseline_NonIID
11,0.5158904657205676,0.4516537356697111,0.4541944764260107,0.8632697857134477,Baseline_NonIID
12,0.5210873475914451,0.4568349019611158,0.4657289218118027,0.8638503079568401,Baseline_NonIID
13,0.5240855486707975,0.4604851998917056,0.4696437336042487,0.8641118091114103,Baseline_NonIID
14,0.5370777533479912,0.4739612570454327,0.472720354209524,0.8677144714670456,Baseline_NonIID
15,0.5536677993204078,0.4918665703526049,0.4890801300033419,0.8676449857896047,Baseline_NonIID
16,0.540875474715171,0.4781404625116652,0.4810995586254109,0.8712022168922468,Baseline_NonIID
17,0.5592644413351989,0.4988271734275408,0.4999874516989396,0.8736889853079509,Baseline_NonIID
18,0.5606636018388966,0.5004349262296217,0.5001413012056308,0.8728251468808375,Baseline_NonIID
19,0.5620627623425944,0.5014240967173001,0.5007706928937279,0.8758607986322395,Baseline_NonIID
20,0.567259644213472,0.5066867418669135,0.5029066437526595,0.8763966284596203,Baseline_NonIID
21,0.5652608434939037,0.5055809920244577,0.5111675805163793,0.8793703763612217,Baseline_NonIID
22,0.5736558065160904,0.5146712648823323,0.5102723143429071,0.8754169340606158,Baseline_NonIID
23,0.5762542474515291,0.5179542207178095,0.5212854311230243,0.8791826217278849,Baseline_NonIID
24,0.5826504097541475,0.5248068068647321,0.5186659700008049,0.8800739053898965,Baseline_NonIID
25,0.5910453727763342,0.533608093385546,0.5259747701632926,0.880954206252003,Baseline_NonIID
26,0.5902458524885069,0.5327396052698091,0.5273042950112771,0.8812339494944688,Baseline_NonIID
27,0.5940435738556866,0.53753843393787,0.5349711962423201,0.884279389131135,Baseline_NonIID
28,0.591245252848291,0.5341956750415304,0.5349451884922187,0.8823857150616404,Baseline_NonIID
29,0.5876474115530682,0.529750872705267,0.52321590307863,0.8839393621000569,Baseline_NonIID
30,0.5968418948630821,0.5400290092826803,0.5341451520300098,0.884547261972286,Baseline_NonIID
31,0.6016390165900459,0.5456829448965653,0.5352019034673707,0.8838948099663382,Baseline_NonIID
32,0.6000399760143914,0.5436960516365988,0.5370927061282373,0.8865336275325482,Baseline_NonIID
33,0.6128323006196282,0.5576142570205554,0.5473226722700928,0.8877805325463106,Baseline_NonIID
34,0.6098340995402758,0.554515232570673,0.5457277359136381,0.8871309779393901,Baseline_NonIID
35,0.6104337397561463,0.5552039777925915,0.5505653487344897,0.8907085321277245,Baseline_NonIID
